2017-11-14 17:59:59.265 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-14 18:00:00.926 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-14 18:03:23.781 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-14 18:03:24.134 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-14 19:24:12.125 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-14 19:24:12.781 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-14 19:28:09.336 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-14 19:28:09.732 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-14 19:48:05.513 INFO  DefaultFactory Logging to 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-14 19:48:05.855 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/09/2017'

2017-11-14 19:48:06.093 INFO  NServiceBus.Persistence.Sql.Installer Executing 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-11-14 19:48:06.526 INFO  NServiceBus.Persistence.Sql.Installer Executing 'D:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-11-14 19:48:08.026 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPAN\USER 2' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPAN\USER 2" /add
2017-11-14 19:48:08.188 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-14 19:48:08.199 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-14 19:48:08.222 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
