2017-11-16 14:28:19.010 INFO  DefaultFactory Logging to 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-16 14:28:19.133 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/16/2017'

2017-11-16 14:28:20.706 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-11-16 14:28:21.401 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-11-16 14:28:23.539 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2017-11-16 14:28:23.640 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.647 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.659 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.666 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.672 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.677 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.685 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.689 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.695 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.700 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 14:28:23.702 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-16 14:28:23.704 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-16 14:28:23.705 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-16 14:28:25.722 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-11-16 14:28:25.744 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-11-16 16:08:31.928 INFO  DefaultFactory Logging to 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-16 16:08:32.097 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/16/2017'

2017-11-16 16:08:32.480 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Subscription_Create.sql'
2017-11-16 16:08:32.506 INFO  NServiceBus.Persistence.Sql.Installer Executing 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\bin\NServiceBus.Persistence.Sql\MsSqlServer\Timeout_Create.sql'
2017-11-16 16:08:32.626 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'RIPANPC\Dell' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "RIPANPC\Dell" /add
2017-11-16 16:08:32.703 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.707 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.714 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.717 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Timeouts] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.722 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.725 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.TimeoutsDispatcher] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.729 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.733 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue.Retries] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.737 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [Everyone] with AccessRights set to [GenericWrite]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.741 WARN  NServiceBus.QueuePermissions Queue [private$\myqueue] is running with [NT AUTHORITY\ANONYMOUS LOGON] with AccessRights set to [WriteMessage]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-11-16 16:08:32.744 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-16 16:08:32.746 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-16 16:08:32.748 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-11-16 20:08:23.964 INFO  DefaultFactory Logging to 'E:\OfficeWork\NServiceBusMSMQ\Publisher\Publisher\App_Data\' with level Info
2017-11-16 20:08:24.106 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '11/16/2017'

